review_id,bank_name,review_text,rating,sentiment_label,sentiment_score,identified_theme(s),keywords
22,Commercial Bank of Ethiopia,"It's great app,I love this app",5,Positive,0.825,No Theme,
23,Commercial Bank of Ethiopia,Nice,5,Positive,0.8,No Theme,
24,Commercial Bank of Ethiopia,suckkkks,1,Neutral,0.5,No Theme,
25,Commercial Bank of Ethiopia,not allowing to transfer and showing current statement updates.,1,Neutral,0.5,Transaction Performance,
26,Commercial Bank of Ethiopia,I love you this app,5,Positive,0.75,No Theme,
27,Commercial Bank of Ethiopia,"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,Positive,0.6833,Transaction Performance,
28,Commercial Bank of Ethiopia,make life easy,5,Positive,0.7167,User Interface & Experience,
29,Commercial Bank of Ethiopia,securr,5,Neutral,0.5,No Theme,
30,Commercial Bank of Ethiopia,My most optional bank,5,Positive,0.75,Feature Requests,
31,Commercial Bank of Ethiopia,5 star,5,Neutral,0.5,No Theme,
32,Commercial Bank of Ethiopia,it is fantastic app.,5,Positive,0.7,No Theme,
33,Commercial Bank of Ethiopia,sifen,5,Neutral,0.5,No Theme,
34,Commercial Bank of Ethiopia,i like this√,4,Neutral,0.5,No Theme,
35,Commercial Bank of Ethiopia,Ok,3,Positive,0.75,No Theme,
36,Commercial Bank of Ethiopia,ጥሩ App ነዉ ። የኔ የግል አስተያየት- Update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ Restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,Neutral,0.5,Account Access Issues,
37,Commercial Bank of Ethiopia,"Seriously, what’s going on with this app? The ""Pay to Beneficiary"" option is completely disabled for Android users, yet iOS users get full access without restrictions. Why are Android users being treated like second class customers? It’s the same app, the same service, but clearly not the same experience. This kind of platform bias is unacceptable, either give everyone the same features or be transparent about why you’re limiting functionality. Right now, it just feels unfair and frustrating.",1,Neutral,0.5,Account Access Issues; User Interface & Experience; Customer Support; Feature Requests,
38,Commercial Bank of Ethiopia,Like,5,Neutral,0.5,No Theme,
39,Commercial Bank of Ethiopia,Nice and very useful app i like it!,5,Positive,0.7719,User Interface & Experience,
40,Commercial Bank of Ethiopia,Good,5,Positive,0.85,No Theme,
41,Commercial Bank of Ethiopia,smart app,4,Positive,0.6071,No Theme,
42,Commercial Bank of Ethiopia,good App,5,Positive,0.85,No Theme,
43,Commercial Bank of Ethiopia,sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,Neutral,0.5,Customer Support,
44,Commercial Bank of Ethiopia,ok,5,Positive,0.75,No Theme,
45,Commercial Bank of Ethiopia,cbe is my choice,4,Neutral,0.5,No Theme,
46,Commercial Bank of Ethiopia,Awesome,5,Positive,1.0,No Theme,
47,Commercial Bank of Ethiopia,I am not able to transfer. The app is not responding,1,Negative,0.625,Transaction Performance,
48,Commercial Bank of Ethiopia,Very convenient App,5,Positive,0.6,No Theme,
49,Commercial Bank of Ethiopia,excellent but sometimes can not connect,5,Positive,1.0,Network & Connectivity,
50,Commercial Bank of Ethiopia,wow apk,5,Neutral,0.5,No Theme,
51,Commercial Bank of Ethiopia,best 100 %,5,Positive,1.0,No Theme,
52,Commercial Bank of Ethiopia,bad app,1,Negative,0.85,No Theme,
53,Commercial Bank of Ethiopia,best app,5,Positive,1.0,No Theme,
54,Commercial Bank of Ethiopia,nice app,5,Positive,0.8,No Theme,
55,Commercial Bank of Ethiopia,the app constantly glitches and won't stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,Positive,0.6111,Network & Connectivity,
56,Commercial Bank of Ethiopia,I can't access it properly I think it needs update,1,Neutral,0.5,Account Access Issues; Feature Requests,
57,Commercial Bank of Ethiopia,👌👌,5,Neutral,0.5,No Theme,
58,Commercial Bank of Ethiopia,best 👌,5,Positive,1.0,No Theme,
59,Commercial Bank of Ethiopia,not Refresh,2,Neutral,0.5,No Theme,
60,Commercial Bank of Ethiopia,your statement is not used as wanted,1,Neutral,0.5,Feature Requests,
61,Commercial Bank of Ethiopia,good very good,5,Positive,0.9025,No Theme,
62,Commercial Bank of Ethiopia,this is absolute trash why because it's not Woking most time the servers are down even though I'm using 4g data Internet they steal not working they use to work with out even data package now it's trash can't even send money,1,Positive,0.5907,Network & Connectivity,
63,Commercial Bank of Ethiopia,Bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,Neutral,0.5,No Theme,
64,Commercial Bank of Ethiopia,Good !,5,Positive,0.9375,No Theme,
65,Commercial Bank of Ethiopia,i like it,5,Neutral,0.5,No Theme,
66,Commercial Bank of Ethiopia,Very nice app,5,Positive,0.89,No Theme,
67,Commercial Bank of Ethiopia,the app is not functional this week.,4,Neutral,0.5,No Theme,
68,Commercial Bank of Ethiopia,very updated bank,5,Positive,0.6,Stability & Reliability,
69,Commercial Bank of Ethiopia,tankyu,5,Neutral,0.5,No Theme,
70,Commercial Bank of Ethiopia,Numbers 2 and 3 don't write during pin verification.,5,Neutral,0.5,Account Access Issues,
71,Commercial Bank of Ethiopia,"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,Neutral,0.5,Customer Support; Feature Requests,
72,Commercial Bank of Ethiopia,loved it,5,Positive,0.85,No Theme,
73,Commercial Bank of Ethiopia,this app is not working on my phone,5,Neutral,0.5,Stability & Reliability,
74,Commercial Bank of Ethiopia,CBE needs to show transaction fees before the transaction is confirmed and not after. This is a big issue as fees are no longer insignificant.,3,Positive,0.6,Feature Requests,
75,Commercial Bank of Ethiopia,"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.",1,Neutral,0.5,Stability & Reliability,
76,Commercial Bank of Ethiopia,wow 😘😘😘,4,Neutral,0.5,No Theme,
77,Commercial Bank of Ethiopia,mobile banking broblem,5,Neutral,0.5,No Theme,
78,Commercial Bank of Ethiopia,good job,5,Positive,0.85,No Theme,
79,Commercial Bank of Ethiopia,it is a good and clear apps to use,4,Positive,0.7,User Interface & Experience,
80,Commercial Bank of Ethiopia,ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,1,Neutral,0.5,No Theme,
81,Commercial Bank of Ethiopia,I love this app b/c every option in the app very clear and supportive.,5,Positive,0.6883,Customer Support,
82,Commercial Bank of Ethiopia,niiceh,5,Neutral,0.5,No Theme,
83,Commercial Bank of Ethiopia,the app is good but their is no dark mode you have to add it,3,Positive,0.6938,Feature Requests,
84,Commercial Bank of Ethiopia,🤮,1,Neutral,0.5,No Theme,
85,Commercial Bank of Ethiopia,abdulakim abrahim elemoo,5,Neutral,0.5,No Theme,
86,Commercial Bank of Ethiopia,strong,5,Positive,0.7167,No Theme,
87,Commercial Bank of Ethiopia,Abebaw Zenebe,5,Neutral,0.5,No Theme,
88,Commercial Bank of Ethiopia,good I love it keep it up but if we had a new update that will be fire Soo good,5,Positive,0.7545,Stability & Reliability,
89,Commercial Bank of Ethiopia,Cbe,5,Neutral,0.5,No Theme,
90,Commercial Bank of Ethiopia,Active and granted system,5,Negative,0.5667,No Theme,
91,Commercial Bank of Ethiopia,fast app,4,Positive,0.6,Transaction Performance,
92,Commercial Bank of Ethiopia,cool 😎,5,Positive,0.675,No Theme,
93,Commercial Bank of Ethiopia,Galaxy A10s,3,Neutral,0.5,No Theme,
94,Commercial Bank of Ethiopia,the best apps,5,Positive,1.0,No Theme,
95,Commercial Bank of Ethiopia,arif app new,5,Positive,0.5682,No Theme,
96,Commercial Bank of Ethiopia,laga Bari biranch,5,Neutral,0.5,No Theme,
97,Commercial Bank of Ethiopia,ነነሠነሠሠነሠሠሠሠነየነ,5,Neutral,0.5,No Theme,
98,Commercial Bank of Ethiopia,I would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,Neutral,0.5,Feature Requests,
99,Commercial Bank of Ethiopia,Attractive,5,Positive,0.9,No Theme,
100,Commercial Bank of Ethiopia,mite,5,Neutral,0.5,No Theme,
101,Commercial Bank of Ethiopia,useful,5,Positive,0.65,User Interface & Experience,
102,Commercial Bank of Ethiopia,"not good, not bad!",3,Neutral,0.5,No Theme,
103,Commercial Bank of Ethiopia,very good,5,Positive,0.955,No Theme,
104,Commercial Bank of Ethiopia,እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ 100ብር 10ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,1,Neutral,0.5,No Theme,
105,Commercial Bank of Ethiopia,imp,5,Neutral,0.5,No Theme,
106,Commercial Bank of Ethiopia,super fast app,5,Positive,0.6333,Transaction Performance,
107,Commercial Bank of Ethiopia,"The app has a nice design and useful features like balance check and transfers, but it’s unstable and often fails to connect. It also forces users to turn off Developer Options, which is unnecessary — other banking apps work fine without that. Many people use Developer Mode for normal reasons. Please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,Positive,0.5801,Account Access Issues; Transaction Performance; Stability & Reliability; User Interface & Experience; Feature Requests; Security Concerns,
108,Commercial Bank of Ethiopia,cbe,4,Neutral,0.5,No Theme,
109,Commercial Bank of Ethiopia,"it says ""ti is work any more in your device"" what can i do??",1,Positive,0.75,Stability & Reliability,
110,Commercial Bank of Ethiopia,blah blah blah,5,Neutral,0.5,No Theme,
111,Commercial Bank of Ethiopia,bad ግዴታ መሆንሁ,1,Negative,0.85,No Theme,
112,Commercial Bank of Ethiopia,CBE no.1,5,Neutral,0.5,No Theme,
113,Commercial Bank of Ethiopia,"it's not work correctly when it's needed sometimes, but it works sometimes though",2,Neutral,0.5,Feature Requests,
114,Commercial Bank of Ethiopia,its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,Positive,0.6267,User Interface & Experience; Security Concerns,
115,Commercial Bank of Ethiopia,gooof,5,Neutral,0.5,No Theme,
116,Commercial Bank of Ethiopia,"Suddenly the cbe application I was using stopped working and called callcenter, I was told it's because it expired and I should vist any branch to fix it. So I went to CBE Silassie branch.After filling a form they gave me, I sat down and waited until they finish fixing 2 customer's case who arrived before me. But then when it was my turn ppl who came after me with same mobile banking and even Atm card cases were finishing up and leaving I had to get back to my work so I left.with no service.why?",1,Neutral,0.5,Account Access Issues; Stability & Reliability; Customer Support,
117,Commercial Bank of Ethiopia,Best app,5,Positive,1.0,No Theme,
118,Commercial Bank of Ethiopia,still not perfect like before,1,Negative,0.75,No Theme,
119,Commercial Bank of Ethiopia,This app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. I think it is a risk full app😭😭😭🤤🤤,1,Neutral,0.5,Feature Requests,
120,Commercial Bank of Ethiopia,APPLIED,1,Neutral,0.5,No Theme,
121,Commercial Bank of Ethiopia,10 years ago,4,Neutral,0.5,No Theme,
122,Commercial Bank of Ethiopia,Asefa Obsa,5,Neutral,0.5,No Theme,
123,Commercial Bank of Ethiopia,it's good app,5,Positive,0.85,No Theme,
124,Commercial Bank of Ethiopia,very slow,1,Negative,0.695,Transaction Performance,
125,Commercial Bank of Ethiopia,berhan deriba wami,4,Neutral,0.5,No Theme,
126,Commercial Bank of Ethiopia,mahamad Usman,5,Neutral,0.5,No Theme,
127,Commercial Bank of Ethiopia,Erako,5,Neutral,0.5,No Theme,
128,Commercial Bank of Ethiopia,🔥🔥🔥🔥🔥,5,Neutral,0.5,No Theme,
129,Commercial Bank of Ethiopia,opne,5,Neutral,0.5,No Theme,
130,Commercial Bank of Ethiopia,mehommd nuri,5,Neutral,0.5,No Theme,
131,Commercial Bank of Ethiopia,Best,5,Positive,1.0,No Theme,
132,Commercial Bank of Ethiopia,providing very secure service.,5,Positive,0.76,Customer Support; Security Concerns,
133,Commercial Bank of Ethiopia,apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም ::,1,Neutral,0.5,No Theme,
134,Commercial Bank of Ethiopia,ዳር ኑሮ ላለው ኣፍሪቻን ው,5,Neutral,0.5,No Theme,
135,Commercial Bank of Ethiopia,RIYAD Mohammed Abaoli 92 527 2567,5,Neutral,0.5,No Theme,
136,Commercial Bank of Ethiopia,it doesn't show bank statement and no options to see transactions for the past months.,2,Negative,0.625,Transaction Performance,
137,Commercial Bank of Ethiopia,Mamma Husen,2,Neutral,0.5,User Interface & Experience,
138,Commercial Bank of Ethiopia,3 stars because I can't see all my transaction history apart from the recents and a refresh button has been removed from the Recents activity. The app should allow clients to view all of the transactions not just recents.,3,Neutral,0.5,Transaction Performance,
139,Commercial Bank of Ethiopia,exceptional application from others bank,5,Positive,0.8333,No Theme,
140,Commercial Bank of Ethiopia,"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,Neutral,0.5,Feature Requests,
141,Commercial Bank of Ethiopia,good👍👍👍😊😊😊,5,Neutral,0.5,No Theme,
142,Commercial Bank of Ethiopia,really good app,5,Positive,0.85,No Theme,
143,Commercial Bank of Ethiopia,smart bank CBE,5,Positive,0.6071,No Theme,
144,Commercial Bank of Ethiopia,Ali urgesa11,3,Neutral,0.5,No Theme,
145,Commercial Bank of Ethiopia,it's good,5,Positive,0.85,No Theme,
146,Commercial Bank of Ethiopia,Good apps,5,Positive,0.85,No Theme,
147,Commercial Bank of Ethiopia,password በጣት አሻራ ቢኖረው መልካም ነበር,4,Neutral,0.5,Account Access Issues,
148,Commercial Bank of Ethiopia,best app i ever seen,5,Positive,1.0,No Theme,
149,Commercial Bank of Ethiopia,it's game changing in financial system,4,Negative,0.6,Stability & Reliability,
150,Commercial Bank of Ethiopia,"z,MKT 20_._!8+⅓⅕😘r",1,Neutral,0.5,No Theme,
151,Commercial Bank of Ethiopia,will good updating,5,Positive,0.85,No Theme,
152,Commercial Bank of Ethiopia,"service charge , vat, fee everything here is not yours they wanna take what you have, everything is not fair",1,Negative,0.675,Customer Support,
153,Commercial Bank of Ethiopia,why removing screenshot feature why?,2,Neutral,0.5,Feature Requests,
154,Commercial Bank of Ethiopia,very good application! thank you all who participate!,5,Positive,1.0,No Theme,
155,Commercial Bank of Ethiopia,application bank commercial Ethiopia I am very happy to be able to appear in a great job on a pleasant job,5,Positive,0.8033,No Theme,
156,Commercial Bank of Ethiopia,user compatible app!,5,Neutral,0.5,User Interface & Experience,
157,Commercial Bank of Ethiopia,"I am trying to access this app on my Android phone, but sometimes doesn't work. so kindly try to improve it.",3,Positive,0.8,Account Access Issues; Feature Requests,
158,Commercial Bank of Ethiopia,what an amazing app. you know how much it simplify life. Thanks cbe. I proud of you.,5,Positive,0.725,No Theme,
159,Commercial Bank of Ethiopia,Our Commercial Bank of Ethiopia is Good !,5,Positive,0.7188,No Theme,
160,Commercial Bank of Ethiopia,Asledin Ibsa,5,Neutral,0.5,No Theme,
161,Commercial Bank of Ethiopia,terrible when showing history of transaction it shows in disorganised way,3,Negative,1.0,Transaction Performance,
162,Commercial Bank of Ethiopia,my bank,5,Neutral,0.5,No Theme,
163,Commercial Bank of Ethiopia,Data,5,Neutral,0.5,Security Concerns,
164,Commercial Bank of Ethiopia,"lately I am facing a problem with the app ,and the problem is when log in and inter my pin it doesn't work at all and says 'can't sync' why does it say that I was working fine a few day ago and also it says when I enter my pin 'change your pin to 6 digit pin and it doesn't allow me to change it please solve what is the problem with the app ?",2,Neutral,0.5,Stability & Reliability,
165,Commercial Bank of Ethiopia,excellent app with lots of features,5,Positive,1.0,Feature Requests,
166,Commercial Bank of Ethiopia,very good 👍 mobile banking,5,Positive,0.955,No Theme,
167,Commercial Bank of Ethiopia,so special,5,Positive,0.6786,No Theme,
168,Commercial Bank of Ethiopia,wiiy ewdihiliw esimirt niho yitnehew metgeyot ❤💞🤔😴🤩😍,1,Neutral,0.5,No Theme,
169,Commercial Bank of Ethiopia,woow cbe,5,Neutral,0.5,No Theme,
170,Commercial Bank of Ethiopia,cbe the best bank app,4,Positive,1.0,No Theme,
171,Commercial Bank of Ethiopia,This App CBE bank it's Simple and Smart I Like it.,5,Positive,0.5536,User Interface & Experience,
172,Commercial Bank of Ethiopia,Rijalufaris,5,Neutral,0.5,No Theme,
173,Commercial Bank of Ethiopia,its Best app But i hate the Repeatedly update request,5,Neutral,0.5,Stability & Reliability,
174,Commercial Bank of Ethiopia,imoo,3,Neutral,0.5,No Theme,
175,Commercial Bank of Ethiopia,"it was good since it become a robber the vat ,tax,service charge,unbelievable charge to send to other bank, monthly charge,etc i hope one international bank comes and we all leave this bank. enough is enough",1,Positive,0.5575,Customer Support,
176,Commercial Bank of Ethiopia,screen shoot always not allowed why?,5,Neutral,0.5,No Theme,
177,Commercial Bank of Ethiopia,enkorabetalen,5,Neutral,0.5,No Theme,
178,Commercial Bank of Ethiopia,Gamada mahamadi,1,Neutral,0.5,No Theme,
179,Commercial Bank of Ethiopia,it is very good banking web but its network is sometimes busy i hope they willfix the problem,4,Positive,0.7525,Stability & Reliability; Network & Connectivity,
180,Commercial Bank of Ethiopia,verfcasencod,5,Neutral,0.5,No Theme,
181,Commercial Bank of Ethiopia,you can't get your own transaction history,1,Positive,0.8,Transaction Performance,
182,Commercial Bank of Ethiopia,sintu,5,Neutral,0.5,No Theme,
183,Commercial Bank of Ethiopia,BEST,5,Positive,1.0,No Theme,
184,Commercial Bank of Ethiopia,Bank of Ethiopia,5,Neutral,0.5,No Theme,
185,Commercial Bank of Ethiopia,"All most Good, but need improvement",5,Positive,0.8,Feature Requests,
186,Commercial Bank of Ethiopia,"Great application for me,So I would like to rate with Solid 5 star.That It works well overall. So hello everyone enjoy the apps",5,Positive,0.65,Stability & Reliability,
187,Commercial Bank of Ethiopia,poor app all of you guys delete CBE and download BOA,1,Negative,0.7,No Theme,
188,Commercial Bank of Ethiopia,niceapp,5,Neutral,0.5,No Theme,
189,Commercial Bank of Ethiopia,the best app of all,5,Positive,1.0,No Theme,
190,Commercial Bank of Ethiopia,❤️,5,Neutral,0.5,No Theme,
191,Commercial Bank of Ethiopia,"Most of the time when I try to open the app, it does not load. The circle keeps spinning as if it is trying to open, and get a message saying "" 2 attempts left for offline login"". This seems to mean that the app cannot connect to the internet, even though I have a stable internet connection, and all other stuff work properly.",2,Neutral,0.5,Account Access Issues; Network & Connectivity,
192,Commercial Bank of Ethiopia,Juhaar,5,Neutral,0.5,No Theme,
193,Commercial Bank of Ethiopia,I am using CBE app very fantastic.,5,Positive,0.76,No Theme,
194,Commercial Bank of Ethiopia,bist app tankyou,4,Neutral,0.5,No Theme,
195,Commercial Bank of Ethiopia,this is very useful and consistent app,5,Positive,0.66,User Interface & Experience,
196,Commercial Bank of Ethiopia,"this application provides timely service in a good, fast and reliable manner.",5,Positive,0.725,Customer Support,
197,Commercial Bank of Ethiopia,So good,5,Positive,0.85,No Theme,
198,Commercial Bank of Ethiopia,it will be more better if the app have the feature receipt verifying from QR CODE SCREENSHOT IMAGES FROM gallery ... currently IT WORKS ONLY FROM DIRECT CAMERA CAPTURING,4,Positive,0.61,Account Access Issues; Feature Requests,
199,Commercial Bank of Ethiopia,"From the UX perspective it can be better, it's old and it's not obvious where you can find some things",3,Positive,0.6,User Interface & Experience,
200,Commercial Bank of Ethiopia,It is amazing app but it is more better if it is possible to transfer from account to other telebirr,5,Positive,0.6475,Transaction Performance,
201,Commercial Bank of Ethiopia,"The app was great while it was active. However, after the app did an update, I lost connection with a message ""Network Error"". Please try to fix it as there are many clients of CBE using this app globally from abroad countries.",3,Positive,0.6458,Stability & Reliability; Network & Connectivity,
202,Commercial Bank of Ethiopia,very important app,4,Positive,0.76,No Theme,
203,Commercial Bank of Ethiopia,the best of all mobile banking in Ethiopia works perfectly fine,5,Positive,0.8542,Stability & Reliability,
204,Commercial Bank of Ethiopia,DANTRO BAND!!!,5,Neutral,0.5,No Theme,
205,Commercial Bank of Ethiopia,some time when make transfer from Mobile account to other cbebirr wallet no show customer name so please check it......thanks my cbe.. cbebirr application very nice application wallet,5,Positive,0.6638,Transaction Performance,
206,Commercial Bank of Ethiopia,this app is very useful but sometimes when you want to see specific transactions it didn't work so that way i gave 3,3,Positive,0.5975,Feature Requests,
207,Commercial Bank of Ethiopia,why i must visit the branch i opened my account to activate the mobile banking services? if it a connected network it maybe done from any branch.,1,Neutral,0.5,Customer Support; Network & Connectivity,
208,Commercial Bank of Ethiopia,አሪፍ ነው አሁን ደግሞ እስክሪን ሹት ማረግ በመቻሌ ደግብሎኛል,5,Neutral,0.5,No Theme,
209,Commercial Bank of Ethiopia,asfaw damse,5,Neutral,0.5,No Theme,
210,Commercial Bank of Ethiopia,jabadhaa namatii tolataan,5,Neutral,0.5,No Theme,
211,Commercial Bank of Ethiopia,"The App is very good in its interface and user friendly. But it could be a pro app had it had additional feature that let us run multiple accounts on a single phone with an option of ""additional"" account!",3,Positive,0.6495,User Interface & Experience; Feature Requests,
212,Commercial Bank of Ethiopia,The app is user friendly. But i want some amendment or include option of sending money to other tele birr like other cbe birr.,4,Neutral,0.5,User Interface & Experience; Feature Requests,
213,Commercial Bank of Ethiopia,Truly amazing!,5,Positive,0.875,No Theme,
214,Commercial Bank of Ethiopia,Doesn't have option to generate statement for transactions,3,Neutral,0.5,Transaction Performance,
215,Commercial Bank of Ethiopia,😎,5,Neutral,0.5,No Theme,
216,Commercial Bank of Ethiopia,JanaleBl,5,Neutral,0.5,No Theme,
217,Commercial Bank of Ethiopia,nice application,5,Positive,0.8,No Theme,
218,Commercial Bank of Ethiopia,WaaaaaaaW,1,Neutral,0.5,No Theme,
219,Commercial Bank of Ethiopia,very nice,5,Positive,0.89,No Theme,
220,Commercial Bank of Ethiopia,Of,5,Neutral,0.5,No Theme,
221,Commercial Bank of Ethiopia,it's best app to use recently and upgraded day to day for internationalization,4,Positive,0.75,User Interface & Experience,
222,Commercial Bank of Ethiopia,Easy to use and not Complicated 👍,5,Positive,0.6708,User Interface & Experience,
223,Commercial Bank of Ethiopia,apdat the app,5,Neutral,0.5,No Theme,
224,Commercial Bank of Ethiopia,good in bankin at any time & any where.,5,Positive,0.85,No Theme,
225,Commercial Bank of Ethiopia,great,5,Positive,0.9,No Theme,
226,Commercial Bank of Ethiopia,"WHAT A USELESS APP! Transfers, wallet payments, other banks — nothing works. Updated, restarted, cleared cache, reinstalled — still useless. Crashed and forced me to visit a branch just to log in 3 times. One of the biggest banks in the country can’t fix issues a junior developer could solve. Completely unreliable. Big bank , Zero functionality!",1,Negative,0.6208,Transaction Performance; Stability & Reliability; Feature Requests,
227,Commercial Bank of Ethiopia,it is best to me,1,Positive,1.0,No Theme,
228,Commercial Bank of Ethiopia,hayizgi mebrahtom feshay,5,Neutral,0.5,No Theme,
229,Commercial Bank of Ethiopia,Excellent app,5,Positive,1.0,No Theme,
230,Commercial Bank of Ethiopia,after apdate the app doesn't work any thing else it said enable to connects,1,Neutral,0.5,Stability & Reliability,
231,Commercial Bank of Ethiopia,love,5,Positive,0.75,No Theme,
232,Commercial Bank of Ethiopia,Hasasa bank,1,Neutral,0.5,No Theme,
233,Commercial Bank of Ethiopia,All ways Trusted.,5,Neutral,0.5,Security Concerns,
234,Commercial Bank of Ethiopia,best MB application in Ethiopia financial sector.,5,Positive,0.75,No Theme,
235,Commercial Bank of Ethiopia,I like this app,5,Neutral,0.5,No Theme,
236,Commercial Bank of Ethiopia,am tired why I have to update every 5 day,1,Negative,0.7,Stability & Reliability,
237,Commercial Bank of Ethiopia,usb debugig mode bicha off endidereg axrigu like awash bank,1,Neutral,0.5,Stability & Reliability,
238,Commercial Bank of Ethiopia,good morning 🙏,5,Positive,0.85,No Theme,
239,Commercial Bank of Ethiopia,am happy 😃,5,Positive,0.9,No Theme,
240,Commercial Bank of Ethiopia,wowww,5,Neutral,0.5,No Theme,
241,Commercial Bank of Ethiopia,KEHRU nasir AbFIXA,5,Neutral,0.5,Stability & Reliability,
242,Commercial Bank of Ethiopia,It is well organized.,5,Neutral,0.5,No Theme,
243,Commercial Bank of Ethiopia,Can't see the nearest Branch or ATM available,2,Positive,0.7,Account Access Issues,
244,Commercial Bank of Ethiopia,the app does not open,1,Neutral,0.5,No Theme,
245,Commercial Bank of Ethiopia,from Monk,3,Neutral,0.5,No Theme,
246,Commercial Bank of Ethiopia,"Amazing, Delightful and Seamless Mobile Banking Application, I have ever Experienced!! Indeed, I feel Great Proud to be part of your Stakeholder! My First Choice Bank, Commercial Bank of Ethiopia, The Pioneer and Leading in Digital Banking Services in Ethiopia! Five stars ⭐⭐⭐⭐⭐ are little to you! Thank you so much🙏",5,Positive,0.7258,Customer Support,
247,Commercial Bank of Ethiopia,incredible,5,Positive,0.95,No Theme,
248,Commercial Bank of Ethiopia,የዚህ አፕ ተጠቃሚ ነበርኩ ያለሁት ከሀገር ውጭ ነው እና እየተጠቀምኩበት ሳለ አብደት አድርጊ አለኝ ሳረገው ፓስወርድ እንዴ አድስ ጠየቀኝ እንዴው እኔ አለሁበት ሀገር ሆኘ መስተካከል ከቻለ ተባበሩኝ በጣም አስፈላጊዬ ነው ::,5,Neutral,0.5,No Theme,
